Name,Framed Image,Album Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
Agent K.K.,#REF!,#REF!,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Keiji,2472,omxkkikQ5jwtoGiXa
Aloha K.K.,#REF!,#REF!,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Aloha,2423,rxKK6nfmC4rWvXxCv
Animal City,#REF!,#REF!,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_DoubutuNoMachi,4312,PTLK2jL5rb7t5Rm5j
Bubblegum K.K.,#REF!,#REF!,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Idol,2492,ZgwCoTem6x9efZAnD
Café K.K.,#REF!,#REF!,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Paris,2454,ZXwXi8YnFpks2RPuK
Chillwave,#REF!,#REF!,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Chillwave,7661,ystJwQvoZ6wxxk4Rt
Comrade K.K.,#REF!,#REF!,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_ShowaKayo,2448,5ufeoTSFwRxQTrXdq
DJ K.K.,#REF!,#REF!,3200,800,103,Brown,Pink,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_EuroBeat,2443,6H8pzhuYdfNpD8KTd
Drivin',#REF!,#REF!,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_Drive,4314,at7FbmJfbKvsGHB5T
Farewell,#REF!,#REF!,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_Sayonara,4313,diprrz97SbCJGzXM3
