Name,Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
Ace's poster,#REF!,1000,250,251,Blue,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,2.0.0,Yes,PosterNpcNmlBrd09,13044,6dbxo8yShZQk36uXj
Admiral's poster,#REF!,1000,250,251,Green,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlBrd06,10814,3LW8HyqLZTJRaGQT9
Agent S's poster,#REF!,1000,250,251,Blue,Gray,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlSqu05,10425,bZu92nbNfGmQvp54D
Agnes's poster,#REF!,1000,250,251,Pink,Black,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlPig17,10401,2wZBfe8Ed7QMvQ8tX
Al's poster,#REF!,1000,250,251,Red,Aqua,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlGor08,10590,sat2PG8L97DymZbQw
Alfonso's poster,#REF!,1000,250,251,Orange,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlCrd00,10382,NjW35Zc7MnTipYZbg
Alice's poster,#REF!,1000,250,251,Beige,White,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlKal01,10411,M89MiTg6MwBt38bYC
Alli's poster,#REF!,1000,250,251,Aqua,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlCrd01,10655,6yDr388PQngpmfKyw
Amelia's poster,#REF!,1000,250,251,Red,White,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlPbr01,10687,xDPzyfpuH42GzRP25
Anabelle's poster,#REF!,1000,250,251,Yellow,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlAnt03,10800,BpX27retKhbmi8f3F
Anchovy's poster,#REF!,1000,250,251,Brown,Aqua,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlBrd02,10782,fNnTbreeuJ9AxCA6M
Angus's poster,#REF!,1000,250,251,Red,Orange,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlBul00,10807,wGwxFH8nwYXuDj8Mv
Anicotti's poster,#REF!,1000,250,251,Green,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlMus10,10413,YFQoYdCCWf74rHXxX
Ankha's poster,#REF!,1000,250,251,Yellow,Brown,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlCat19,10416,YNxQgR8caq9EAvm8b
Annalisa's poster,#REF!,1000,250,251,Beige,Pink,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlAnt08,10824,QLhdJiM4EPJBdZvZD
Annalise's poster,#REF!,1000,250,251,Brown,Purple,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlHrs09,10573,KeP7vMfGPMihtEeRN
Antonio's poster,#REF!,1000,250,251,Blue,Yellow,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlAnt01,10795,TeuSXPWPNyvqpWyF7
