Name,Variation,DIY,Buy,Sell,Source,Source Notes,Catalog,Tab,Tag,Customize,Cyrus,Image,HHP Source
3D glasses (White),White,False,490,122,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed0.png,['Elise']
3D glasses (Black),Black,False,490,122,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed1.png,['Elise']
animal nose,,False,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthHalloween0.png,['Bangle']
ballroom mask (White),White,False,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDance0.png,From player catalog after 27th home
ballroom mask (Black),Black,False,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDance1.png,From player catalog after 27th home
bandage,,False,140,35,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBandageSkin.png,"['Stinky', 'Fuchsia', 'Bones', 'Hospital']"
beak,,False,490,122,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeakYellow.png,From player catalog after 27th home
birthday shades (Red),Red,False,,620,Birthday,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday2.png,From player catalog after 27th home
birthday shades (Pink),Pink,False,,620,Birthday,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday1.png,From player catalog after 27th home
birthday shades (Yellow),Yellow,False,,620,Birthday,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday0.png,From player catalog after 27th home
birthday shades (Blue),Blue,False,,620,Birthday,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday3.png,From player catalog after 27th home
bottom-rimmed glasses (Black),Black,False,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose6.png,['Elise']
bottom-rimmed glasses (Red),Red,False,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose0.png,['Elise']
bottom-rimmed glasses (Pink),Pink,False,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose5.png,['Elise']
bottom-rimmed glasses (Yellow),Yellow,False,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose4.png,['Elise']
bottom-rimmed glasses (Green),Green,False,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose2.png,['Elise']
bottom-rimmed glasses (Blue),Blue,False,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose3.png,['Elise']
bottom-rimmed glasses (Purple),Purple,False,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose1.png,['Elise']
browline glasses (Gray),Gray,False,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont3.png,"['Lolly', 'Elise', 'Quinn', 'School']"
browline glasses (Black),Black,False,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont0.png,"['Lolly', 'Elise', 'Quinn', 'School']"
