,Name,Variation,DIY,Buy,Sell,Source,Source Notes,Catalog,Tab,Tag,Customize,Cyrus,Image,HHP Source
0,3D glasses (White),['White'],No,490,122,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed0.png'],['Elise']
1,3D glasses (Black),['Black'],No,490,122,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed1.png'],['Elise']
2,animal nose,[nan],No,560,140,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthHalloween0.png'],['Bangle']
3,ballroom mask (White),['White'],No,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDance0.png'],
4,ballroom mask (Black),['Black'],No,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDance1.png'],
5,bandage,[nan],No,140,35,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBandageSkin.png'],"['Stinky', 'Fuchsia', 'Bones', 'Hospital']"
6,beak,[nan],No,490,122,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeakYellow.png'],
7,birthday shades (Red),Red,No,NFS,620,Birthday,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday2.png,
8,birthday shades (Pink),Pink,No,NFS,620,Birthday,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday1.png,
9,birthday shades (Yellow),Yellow,No,NFS,620,Birthday,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday0.png,
10,birthday shades (Blue),Blue,No,NFS,620,Birthday,,Not for sale,clothing,accessories,False,False,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday3.png,
11,bottom-rimmed glasses (Black),['Black'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose6.png'],['Elise']
12,bottom-rimmed glasses (Red),['Red'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose0.png'],['Elise']
13,bottom-rimmed glasses (Pink),['Pink'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose5.png'],['Elise']
14,bottom-rimmed glasses (Yellow),['Yellow'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose4.png'],['Elise']
15,bottom-rimmed glasses (Green),['Green'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose2.png'],['Elise']
16,bottom-rimmed glasses (Blue),['Blue'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose3.png'],['Elise']
17,bottom-rimmed glasses (Purple),['Purple'],No,1100,275,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose1.png'],['Elise']
18,browline glasses (Gray),['Gray'],No,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont3.png'],"['Lolly', 'Elise', 'Quinn', 'School']"
19,browline glasses (Black),['Black'],No,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont0.png'],"['Lolly', 'Elise', 'Quinn', 'School']"
20,browline glasses (Green),['Green'],No,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont2.png'],"['Lolly', 'Elise', 'Quinn', 'School']"
21,browline glasses (Brown),['Brown'],No,1040,260,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont1.png'],"['Lolly', 'Elise', 'Quinn', 'School']"
22,bubblegum (White),['White'],No,140,35,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum4.png'],['Hopkins']
23,bubblegum (Pink),['Pink'],No,140,35,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum0.png'],['Hopkins']
24,bubblegum (Yellow),['Yellow'],No,140,35,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum2.png'],['Hopkins']
25,bubblegum (Green),['Green'],No,140,35,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum3.png'],['Hopkins']
26,bubblegum (Blue),['Blue'],No,140,35,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum1.png'],['Hopkins']
27,bunny nose (White),['White'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit2.png'],"['Ruby', 'Bangle']"
28,bunny nose (Pink),['Pink'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit0.png'],"['Ruby', 'Bangle']"
29,bunny nose (Yellow),['Yellow'],No,560,140,Able Sisters,Available from Able Sisters shop only,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit1.png'],"['Ruby', 'Bangle']"
30,butterfly shades (Blue),['Blue'],No,1040,260,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly0.png'],"['Cherry', 'Elise', 'Wolfgang']"
31,butterfly shades (Red),['Red'],No,1040,260,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,For sale,clothing,accessories,False,False,['https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly1.png'],"['Cherry', 'Elise', 'Wolfgang']"
