Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acorn knit cap,#REF!,#REF!,Berry red,No,880,220,51,Red,Red,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Active,everyday; comfy,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn3,670,10935,EfbMmL5YGZYtZNgHe
acorn knit cap,#REF!,#REF!,Mustard,No,880,220,51,Yellow,Yellow,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,All Year,Free,Free,Cute,Active,everyday; comfy,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn1,670,10933,ezAwHKyeN45mGvvpH
acorn knit cap,#REF!,#REF!,Avocado,No,880,220,51,Green,Green,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,Winter,Free,Free,Cute,Active,everyday; comfy,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn2,670,10934,we44e3C8foQySY2y7
acorn knit cap,#REF!,#REF!,Navy blue,No,880,220,51,Blue,Blue,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Active,everyday; comfy,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn4,670,10936,FYrdavXDtZWRQ2MqQ
acorn knit cap,#REF!,#REF!,Chestnut,No,880,220,51,Brown,Brown,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Active,everyday; comfy,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn0,670,5315,awiucsYWz5zP8GpRg
acorn knit cap,#REF!,#REF!,Cream,No,880,220,51,Beige,Beige,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Active,everyday; comfy,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn5,670,10937,XTXWXam7Wjt59MTr8
alpinist hat,#REF!,#REF!,Red,No,NFS,500,451,Red,Pink,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Elegant,everyday; formal,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean2,658,11885,mKejTXKMxXnRBkk4B
alpinist hat,#REF!,#REF!,Green,No,NFS,500,451,Green,Green,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Elegant,everyday; formal,2,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean0,658,5295,mYej2cYc7x6mGC8Dj
alpinist hat,#REF!,#REF!,Blue,No,NFS,500,451,Blue,Aqua,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Elegant,everyday; formal,3,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean1,658,11884,e45yoPx7fjTd9cSwk
ancient administrator hat,#REF!,#REF!,NA,No,NFS,800,451,Black,Black,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Elegant,formal; work,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatKanboBlack,929,6048,BNBBbdP7uZbY2r3zw
