Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Stack Size,Buy,Sell,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
bamboo lattice fence,#REF!,NA,NA,Yes,No,NA,None,NA,50,NFS,96,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceBamboo,NA,3403,XaLnmQsQ47HfHQ9g5
bamboo-slats fence,#REF!,NA,NA,Yes,No,NA,None,NA,50,NFS,48,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceSandProtection,NA,14757,ziM6qEMjHMDPruzz6
barbed-wire fence,#REF!,NA,NA,Yes,No,NA,None,NA,50,NFS,198,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceBarbedWire,NA,5213,dNgibaR9jFqaDwuDZ
block fence,#REF!,NA,NA,Yes,No,NA,None,NA,50,NFS,270,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceConcreteBlock,NA,4355,mKD2vgrBbXSNNPGJ4
brick fence,#REF!,NA,NA,Yes,No,NA,None,NA,50,NFS,120,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceWallRenga,NA,3080,WAzanA7e5MREzJdMh
Bunny Day fence,#REF!,NA,NA,Yes,No,NA,None,NA,50,NFS,240,Crafting,,Bunny Day (days before); Bunny Day,Yes,Not for sale,1.1.0,Yes,ItemFenceEgg,NA,12630,CLQGhAfSNykpxrh3a
corral fence,#REF!,NA,NA,Yes,No,NA,None,NA,50,NFS,72,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceHorizontalWood,NA,4349,rqwqYy7Aphvh5zBSA
corrugated iron fence,#REF!,Gray,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_0_0,0_0,14758,sbRoLarfMrE5YkCL9
corrugated iron fence,#REF!,Yellow,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_1_0,1_0,14758,tH2nZ6dspXXTRZ65A
corrugated iron fence,#REF!,Green,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_2_0,2_0,14758,bxWiSjQEdzwvHJGXH
corrugated iron fence,#REF!,Blue,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_3_0,3_0,14758,ZNwYpAk3yKtvcYb5t
corrugated iron fence,#REF!,Red,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_4_0,4_0,14758,b4wCAGpeiKNQKn2tN
corrugated iron fence,#REF!,White,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_5_0,5_0,14758,taWDpCYbwtnxqr68T
corrugated iron fence,#REF!,Black,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_6_0,6_0,14758,Q9aQS7h5HtJ5jEZQq
corrugated iron fence,#REF!,Brown,Color,Yes,Yes,1,Normal,1000,50,NFS,261,Crafting,,NA,NA,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_7_0,7_0,14758,TsjJXwxTniq3FWZnR
country fence,#REF!,NA,NA,Yes,No,NA,None,NA,50,NFS,72,Crafting,,NA,NA,Not for sale,1.0.0,Yes,ItemFenceLog,NA,4350,twwkbWJ8YsoJEy3j8
frozen fence,#REF!,Ice,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_0_0,0_0,14756,ECXSEhvtE5XqvDLdW
frozen fence,#REF!,Ice blue,Illumination,Yes,Yes,1,Normal,1000,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_1_0,1_0,14756,kEgodfCvnHHwz9rdj
