Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
air conditioner,#REF!,White,Color,NA,NA,No,No,No,NA,NA,None,5200,63000,15750,White,White,56700,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,living room,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_0_0,0_0,929,7EpH4QiWWq6i7j4yp
air conditioner,#REF!,Gray,Color,NA,NA,No,No,No,NA,NA,None,5200,63000,15750,Gray,Gray,56700,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,living room,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_1_0,1_0,929,iWBEC2WbBHnk4ikm3
air conditioner,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,5200,63000,15750,Black,Black,56700,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,living room,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_2_0,2_0,929,wPNpj6gofFKDMneeS
air conditioner,#REF!,Pink,Color,NA,NA,No,No,No,NA,NA,None,5200,63000,15750,Pink,Pink,56700,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,living room,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_3_0,3_0,929,SyG8yuDJjnxjRRAYJ
air conditioner,#REF!,Blue,Color,NA,NA,No,No,No,NA,NA,None,5200,63000,15750,Aqua,Aqua,56700,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,living room,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_4_0,4_0,929,fBngP3empPftMfnsB
air conditioner,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,5200,63000,15750,Brown,Brown,56700,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,office,living room,None,None,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_5_0,5_0,929,B5d8BvAPL6TJeYMZB
antique phone,#REF!,Brown,Color,NA,NA,No,No,No,NA,NA,None,4500,16000,4000,Brown,Yellow,14400,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_0_0,0_0,3953,hJBB3R4NDJrTGhQK7
antique phone,#REF!,Natural,Color,NA,NA,No,No,No,NA,NA,None,4500,16000,4000,Beige,Yellow,14400,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_1_0,1_0,3953,6EomSi8yTfRRCoxwn
antique phone,#REF!,Black,Color,NA,NA,No,No,No,NA,NA,None,4500,16000,4000,Black,Yellow,14400,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",NA,NA,251,retro,expensive,antique,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_2_0,2_0,3953,SSHmqTAWCt99jDNq8
art plaque,#REF!,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,2500,Yellow,Brown,NA,NA,1x1,Blathers,Reward for completing the Stamp Rally in the art gallery during International Museum Day,International Museum Day,Yes,437,expensive,den,None,None,None,No,Seasonal Decor,No,No lighting,No,Not for sale,1.10.0,Yes,FtrMuseumArtWall,NA,14532,bqWxuEiMEpLNvAEgW
autograph cards,#REF!,Signature,Variation,Musician's signature,Signature,No,No,Yes,Default; Custom,1,Normal,1000,1400,350,White,White,1300,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,shop,restaurant,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_0_0,0_0,1899,HpebEX4QbjWeQGmPb
