Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
antique boots,#REF!,#REF!,Black,No,2640,660,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Elegant,everyday; fairy tale,1,No,For sale,1.0.0,Yes,ShoesKneeAntique1,776,11689,hpTunJzb4CJPueMW7
antique boots,#REF!,#REF!,Brown,No,2640,660,51,Brown,Brown,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Elegant,everyday; fairy tale,2,No,For sale,1.0.0,Yes,ShoesKneeAntique0,776,5523,jQ9MMJXSCde9q8NPP
antique boots,#REF!,#REF!,Greige,No,2640,660,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Simple,Elegant,everyday; fairy tale,3,No,For sale,1.0.0,Yes,ShoesKneeAntique2,776,11690,ngk8sGuhSHQoBmwqv
armor shoes,#REF!,#REF!,NA,Yes,NFS,3000,103,Gray,Gray,1x1,NA,NA,Crafting,,NA,NA,All Year,All Year,NA,Free,Cool,Gorgeous,fairy tale; goth,1,No,Not for sale,1.0.0,Yes,ShoesKneeKnightIron,763,5472,osBLFxSiCDnRf8eXR
babouches,#REF!,#REF!,Gray,No,560,140,23,Gray,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,1,No,For sale,1.0.0,Yes,ShoesSandalBaboush4,925,10112,N9jHqLCE8WsfZxJHo
babouches,#REF!,#REF!,Red,No,560,140,23,Red,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,2,No,For sale,1.0.0,Yes,ShoesSandalBaboush7,925,10115,EZKKTpCAN4CEvJJwC
babouches,#REF!,#REF!,Pink,No,560,140,23,Pink,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,3,No,For sale,1.0.0,Yes,ShoesSandalBaboush2,925,10110,KrfcX2z6gFKZziGwx
babouches,#REF!,#REF!,Orange,No,560,140,23,Orange,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,4,No,For sale,1.0.0,Yes,ShoesSandalBaboush1,925,10109,hzHj4PYSRpa8fkQey
babouches,#REF!,#REF!,Yellow,No,560,140,23,Yellow,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,5,No,For sale,1.0.0,Yes,ShoesSandalBaboush3,925,10111,BRTZYzjci4T3qodP8
babouches,#REF!,#REF!,Mint,No,560,140,23,Green,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,6,No,For sale,1.0.0,Yes,ShoesSandalBaboush6,925,10114,okW9rusWLMPm4bcDz
babouches,#REF!,#REF!,Blue,No,560,140,23,Aqua,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,7,No,For sale,1.0.0,Yes,ShoesSandalBaboush0,925,6043,AvkHgWmEW5vTs4Ckc
babouches,#REF!,#REF!,Purple,No,560,140,23,Purple,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Cute,Gorgeous,comfy; vacation,8,No,For sale,1.0.0,Yes,ShoesSandalBaboush5,925,10113,sth7EXmjdbwzk439A
ballet slippers,#REF!,#REF!,Black,No,2200,550,23,Black,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,1,No,For sale,1.0.0,Yes,ShoesLowcutBallet4,791,10158,oQNLiop5Do6CH5eTu
ballet slippers,#REF!,#REF!,Pink,No,2200,550,23,Pink,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,2,No,For sale,1.0.0,Yes,ShoesLowcutBallet0,791,5608,uABG45ozFPCwrBXuS
ballet slippers,#REF!,#REF!,Red,No,2200,550,23,Orange,Orange,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,3,No,For sale,1.0.0,Yes,ShoesLowcutBallet7,791,10161,CpLSLkvz3Jo982p6e
ballet slippers,#REF!,#REF!,Yellow,No,2200,550,23,Yellow,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,4,No,For sale,1.0.0,Yes,ShoesLowcutBallet6,791,10160,Qv7eADgLwdsNuSBZZ
ballet slippers,#REF!,#REF!,Mint,No,2200,550,23,Aqua,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,5,No,For sale,1.0.0,Yes,ShoesLowcutBallet1,791,10155,bE4c36LYqcRmkajHL
ballet slippers,#REF!,#REF!,Blue,No,2200,550,23,Blue,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,6,No,For sale,1.0.0,Yes,ShoesLowcutBallet2,791,10156,jJ565rnrzozyhRNYP
ballet slippers,#REF!,#REF!,Purple,No,2200,550,23,Purple,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,7,No,For sale,1.0.0,Yes,ShoesLowcutBallet3,791,10157,kuEQdTi7ZXLw5AZgR
ballet slippers,#REF!,#REF!,White,No,2200,550,23,Beige,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Elegant,Cute,fairy tale; sporty; theatrical; work,8,No,For sale,1.0.0,Yes,ShoesLowcutBallet5,791,10159,cQt3ftJejYwuPrqWS
basic pumps,#REF!,#REF!,Black,No,1080,270,51,Black,Beige,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; formal; party; work,1,No,For sale,2.0.0,Yes,ShoesLowcutNomalpumps0,1453,14765,ud4W2GgrLhDcxMJxh
basic pumps,#REF!,#REF!,Ivory,No,1080,270,51,White,Beige,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; formal; party; work,2,No,For sale,2.0.0,Yes,ShoesLowcutNomalpumps3,1453,14967,7tqazGDTt7DX2eEm8
basic pumps,#REF!,#REF!,Greige,No,1080,270,51,Gray,Beige,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; formal; party; work,3,No,For sale,2.0.0,Yes,ShoesLowcutNomalpumps4,1453,14968,NQ5R4oQ8fgv4QwWfx
basic pumps,#REF!,#REF!,Red,No,1080,270,51,Red,Beige,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; formal; party; work,4,No,For sale,2.0.0,Yes,ShoesLowcutNomalpumps5,1453,14969,ifvfGaxgZdv2MukQJ
basic pumps,#REF!,#REF!,Green,No,1080,270,51,Green,Beige,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; formal; party; work,5,No,For sale,2.0.0,Yes,ShoesLowcutNomalpumps7,1453,14971,vNM2ChHEGX4iECHfC
basic pumps,#REF!,#REF!,Blue,No,1080,270,51,Aqua,Beige,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; formal; party; work,6,No,For sale,2.0.0,Yes,ShoesLowcutNomalpumps6,1453,14970,iNNbHFxvxCHF2QYbg
basic pumps,#REF!,#REF!,Brown,No,1080,270,51,Brown,Beige,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Simple,Simple,everyday; formal; party; work,7,No,For sale,2.0.0,Yes,ShoesLowcutNomalpumps1,1453,14965,eSpgFqjbQu58i8LCh
