Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
A tee,#REF!,#REF!,NA,No,560,140,51,Blue,White,1x1,500,Poki,Nook Shopping Daily Selection,,NA,NA,All Year,Summer,NA,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHAce0,1038,8532,7XCg953t2tGAPuzaR
acid-washed jacket,#REF!,#REF!,Black,No,1680,420,51,Black,Black,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Free,Simple,Cool,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLChemical1,652,9538,K96PFk2AuQFqPrKH3
acid-washed jacket,#REF!,#REF!,Blue,No,1680,420,51,Blue,Blue,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,All Year,Free,Free,Simple,Cool,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLChemical0,652,5289,zAiLmCwSaWADqXkRf
after-school jacket,#REF!,#REF!,Black,No,1050,262,51,Black,Red,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Free,Cool,Cool,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen0,329,4366,rAfEdHYdt5e4AGTya
after-school jacket,#REF!,#REF!,White,No,1050,262,51,White,Black,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen3,329,7556,N6nbrMGHwztxBWTMm
after-school jacket,#REF!,#REF!,Gray,No,1050,262,51,Gray,White,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen5,329,7558,m279zqujD3zTbp44a
after-school jacket,#REF!,#REF!,Berry red,No,1050,262,51,Red,Green,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen1,329,7554,mGvZuvYbGma2REd6A
after-school jacket,#REF!,#REF!,Green,No,1050,262,51,Green,Yellow,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen2,329,7555,YHLqiyRYuF8BwEgaF
after-school jacket,#REF!,#REF!,Blue,No,1050,262,51,Blue,Purple,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen6,329,7559,KzNwELnmeCmWBQMoD
after-school jacket,#REF!,#REF!,Purple,No,1050,262,51,Purple,Blue,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen4,329,7557,svQfLQXgrowTDaDoh
animal-print coat,#REF!,#REF!,Pink,No,2320,580,51,Pink,Pink,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal3,388,8451,rsgnoR4TBYBqJMXBg
animal-print coat,#REF!,#REF!,Green,No,2320,580,51,Green,Green,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal1,388,8449,gWnBj8n2ZKrm8j8zf
animal-print coat,#REF!,#REF!,Blue,No,2320,580,51,Blue,Aqua,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Cute,Gorgeous,everyday,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal0,388,4465,ozg6yMkXQzsmkjPsW
animal-print coat,#REF!,#REF!,Purple,No,2320,580,51,Purple,Purple,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal2,388,8450,jKHbF6WwExfSBPBww
animal-stripes tee,#REF!,#REF!,Zebra,No,960,240,51,Gray,Black,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cool,Gorgeous,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStripe1,1027,12066,gkjWimKdm6sMgiTw8
animal-stripes tee,#REF!,#REF!,Tiger,No,960,240,51,Yellow,Black,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cool,Gorgeous,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStripe0,1027,8198,WTG2RBsXk5cimHsis
annyeong tee,#REF!,#REF!,NA,No,640,160,51,Aqua,White,1x1,580,Poki,Nook Shopping Daily Selection,,NA,NA,All Year,Summer,NA,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHHellokr0,1171,12117,mfMor9YWpsoEbPK5e
anorak jacket,#REF!,#REF!,Red,No,1400,350,51,Red,Red,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak1,548,9308,Ws4vh3dya8i8nPtJ9
anorak jacket,#REF!,#REF!,Blue,No,1400,350,51,Blue,Blue,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak2,548,9309,BaiWuWNL9muLeYYkQ
anorak jacket,#REF!,#REF!,Camel,No,1400,350,51,Beige,Beige,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak0,548,4793,agpR79ZTHcuQheDdF
apron,#REF!,#REF!,Gray,No,840,210,51,Gray,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron6,87,9600,QdF6ZF74688kYPLx3
apron,#REF!,#REF!,Pink,No,840,210,51,Pink,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron3,87,9597,yT7c96mMafv5QEddb
apron,#REF!,#REF!,Orange,No,840,210,51,Orange,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron0,87,3228,LTZqXvkrNxza2nMPb
apron,#REF!,#REF!,Green,No,840,210,51,Green,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron1,87,9595,d5kmhJqzcK6uT3iJr
apron,#REF!,#REF!,Light blue,No,840,210,51,Aqua,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron4,87,9598,EbD6WxjrdSDosTkPa
apron,#REF!,#REF!,Blue,No,840,210,51,Blue,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron2,87,9596,sc9Mtxn3PWuAtCtWt
apron,#REF!,#REF!,Purple,No,840,210,51,Purple,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,7,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron5,87,9599,GRb6jZGaZzWdsmYuj
apron,#REF!,#REF!,Brown,No,840,210,51,Brown,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,8,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron7,87,9601,wu2TYq7RGJWFEugZs
Aran-knit cardigan,#REF!,#REF!,Pink,No,1300,325,51,Pink,Pink,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan2,212,7679,mJtGnjdLxpmdakhxo
Aran-knit cardigan,#REF!,#REF!,Yellow,No,1300,325,51,Yellow,Yellow,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan3,212,7680,7nmckbhG5uG3JQxPz
Aran-knit cardigan,#REF!,#REF!,Light blue,No,1300,325,51,Aqua,Aqua,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan1,212,7678,MzK6AWudRCPLEdSPi
Aran-knit cardigan,#REF!,#REF!,Beige,No,1300,325,51,Beige,Beige,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan0,212,3643,fJR97K7r3qHAB2TLr
Aran-knit sweater,#REF!,#REF!,White,No,1200,300,51,White,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran1,209,7672,r9fBZ2q6e4neh4vxK
Aran-knit sweater,#REF!,#REF!,Gray,No,1200,300,51,Gray,Gray,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran2,209,7673,GDMzeQoGkah87ocD7
Aran-knit sweater,#REF!,#REF!,Black,No,1200,300,51,Black,Black,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran4,209,7675,nDgu8apAqxvPpaYaa
Aran-knit sweater,#REF!,#REF!,Red,No,1200,300,51,Red,Red,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran0,209,3633,Bk2v8mfDeJJX3khg6
Aran-knit sweater,#REF!,#REF!,Orange,No,1200,300,51,Orange,Orange,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran5,209,7676,yWjKAXMSpvrdPQ96S
Aran-knit sweater,#REF!,#REF!,Green,No,1200,300,51,Green,Green,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran3,209,7674,twRmAecxYcKDTriJu
Aran-knit sweater,#REF!,#REF!,Blue,No,1200,300,51,Blue,Blue,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran6,209,7677,csp3scivRcpNKguZd
